bonus_id,player_id,bonus_type,bonus_date,bonus_amount,wagering_requirement,wagering_met,bonus_cost
B000001,P00001,Welcome Bonus,2023-01-26,49.39,25,No,31.43
B000002,P00001,VIP Reload,2023-11-16,498.1,35,No,0
B000003,P00001,Deposit Match,2023-08-07,270.67,30,Yes,128.1
B000004,P00001,Free Spins,2024-04-11,136.79,20,No,0
B000005,P00002,Welcome Bonus,2023-03-31,84.61,30,Yes,59.85
B000006,P00002,Free Spins,2024-09-20,431.61,35,Yes,317.81
B000007,P00002,VIP Reload,2024-03-04,224.08,15,Yes,171.99
B000008,P00002,No Deposit,2023-05-27,377.58,25,Yes,247.53
B000009,P00002,Welcome Bonus,2023-08-26,161.63,30,Yes,95.98
B000010,P00002,Deposit Match,2023-09-19,207.65,25,No,0
B000011,P00002,Free Spins,2023-04-03,296.28,40,No,0
B000012,P00002,Welcome Bonus,2024-05-21,453.66,20,Yes,290.47
B000013,P00002,Cashback,2024-08-17,64.57,15,No,0
B000014,P00002,Welcome Bonus,2023-07-26,132.92,40,Yes,93.64
B000015,P00003,Welcome Bonus,2024-07-28,25.47,25,Yes,36.41
B000016,P00003,Free Spins,2024-10-18,448.43,20,No,0
B000017,P00003,Deposit Match,2024-10-06,353.09,30,Yes,162.04
B000018,P00003,Cashback,2024-07-29,453.13,20,No,0
B000019,P00004,Welcome Bonus,2023-01-07,39.02,35,No,27.02
B000020,P00005,Welcome Bonus,2023-12-11,17.43,30,No,43.65
B000021,P00005,Welcome Bonus,2024-08-28,60.96,40,No,0
B000022,P00005,Cashback,2023-12-30,27.54,35,Yes,21.03
B000023,P00005,Welcome Bonus,2024-01-02,197.94,35,No,0
B000024,P00005,No Deposit,2024-11-29,474.78,25,No,0
B000025,P00005,Free Spins,2024-11-20,390.75,40,Yes,138.49
B000026,P00005,Cashback,2024-08-10,314.73,25,No,0
B000027,P00005,No Deposit,2024-05-07,192.28,20,Yes,76.55
B000028,P00005,Welcome Bonus,2024-06-03,164.1,15,No,0
B000029,P00005,Free Spins,2024-08-08,11.94,25,No,0
B000030,P00006,Welcome Bonus,2024-04-15,11.51,25,No,14.76
B000031,P00006,Deposit Match,2024-07-24,428.48,25,Yes,253.75
B000032,P00006,Welcome Bonus,2024-05-23,35.21,35,Yes,11.56
B000033,P00006,Deposit Match,2024-11-17,313.07,30,No,0
B000034,P00006,VIP Reload,2024-09-14,201.03,20,Yes,138.86
B000035,P00006,No Deposit,2024-09-07,234.24,20,No,0
B000036,P00006,Free Spins,2024-11-01,152.54,15,No,0
B000037,P00006,Welcome Bonus,2024-09-02,315.86,40,No,0
B000038,P00007,Welcome Bonus,2024-01-06,44.69,35,No,6.38
B000039,P00007,Welcome Bonus,2024-01-25,115.85,40,Yes,88.23
B000040,P00008,Welcome Bonus,2023-04-14,86.74,20,Yes,24.51
B000041,P00008,Free Spins,2024-03-09,331.4,20,No,0
B000042,P00008,Free Spins,2023-08-08,267.94,20,No,0
B000043,P00008,VIP Reload,2024-06-20,457.07,25,No,0
B000044,P00008,VIP Reload,2024-03-10,265.74,40,Yes,160.54
B000045,P00008,VIP Reload,2024-02-03,280.47,35,Yes,129.3
B000046,P00008,VIP Reload,2024-11-25,116.4,30,Yes,70.5
B000047,P00009,Welcome Bonus,2024-12-19,41.98,35,Yes,42.9
B000048,P00009,Deposit Match,2024-12-30,70.9,30,Yes,50.45
B000049,P00010,Welcome Bonus,2024-04-18,98.43,30,Yes,35.73
