session_id,player_id,session_date,game_type,total_bets,total_wins,ggr,duration_minutes
S0000001,P00001,2024-08-06,Slots,166.27,157.08,9.19,46
S0000002,P00001,2023-03-14,Live Casino,26.23,25.94,0.29,133
S0000003,P00001,2023-03-02,Live Casino,75.02,74.02,1.0,69
S0000004,P00001,2024-11-29,Live Casino,24.99,24.2,0.79,133
S0000005,P00001,2024-12-10,Live Casino,34.66,34.11,0.55,77
S0000006,P00001,2023-06-04,Live Casino,195.49,192.92,2.57,133
S0000007,P00001,2023-11-11,Poker,179.99,171.61,8.38,90
S0000008,P00001,2023-05-16,Poker,50.66,48.15,2.51,9
S0000009,P00001,2024-08-08,Live Casino,85.4,83.24,2.16,72
S0000010,P00001,2024-10-30,Live Casino,43.52,41.81,1.71,99
S0000011,P00001,2023-10-10,Table Games,26.4,25.5,0.9,160
S0000012,P00001,2023-04-19,Live Casino,74.35,72.73,1.62,83
S0000013,P00001,2023-08-02,Live Casino,36.88,36.34,0.54,67
S0000014,P00001,2023-06-20,Live Casino,147.78,142.96,4.82,56
S0000015,P00001,2024-01-23,Live Casino,133.62,130.29,3.33,20
S0000016,P00001,2023-04-28,Live Casino,22.56,22.08,0.48,119
S0000017,P00001,2023-06-19,Table Games,186.59,182.09,4.5,53
S0000018,P00001,2024-06-20,Live Casino,145.15,143.09,2.06,127
S0000019,P00001,2024-06-05,Table Games,127.14,123.26,3.88,134
S0000020,P00001,2023-11-05,Poker,52.51,49.4,3.11,78
S0000021,P00001,2024-04-12,Live Casino,87.18,85.91,1.27,127
S0000022,P00001,2023-12-05,Poker,82.32,79.43,2.89,51
S0000023,P00001,2023-07-02,Live Casino,189.72,186.86,2.86,180
S0000024,P00002,2024-11-29,Slots,161.79,148.73,13.06,54
S0000025,P00002,2023-04-26,Slots,120.98,109.86,11.12,119
S0000026,P00002,2024-10-14,Sports Betting,898.34,942.56,-44.22,161
S0000027,P00002,2023-10-30,Slots,646.35,621.41,24.94,143
S0000028,P00002,2024-06-10,Slots,446.4,425.18,21.22,96
S0000029,P00002,2024-02-05,Slots,456.45,436.79,19.66,56
S0000030,P00002,2024-09-16,Slots,943.38,875.74,67.64,179
S0000031,P00002,2023-05-25,Slots,745.92,708.8,37.12,19
S0000032,P00002,2024-09-17,Slots,486.74,441.35,45.39,58
S0000033,P00002,2024-09-18,Live Casino,454.44,447.08,7.36,137
S0000034,P00002,2023-08-01,Slots,487.18,462.78,24.4,177
S0000035,P00002,2024-09-14,Sports Betting,257.22,234.96,22.26,77
S0000036,P00002,2024-05-28,Sports Betting,341.56,334.91,6.65,72
S0000037,P00002,2023-10-24,Slots,918.75,864.76,53.99,100
S0000038,P00002,2023-12-23,Slots,906.25,855.45,50.8,57
S0000039,P00002,2024-04-08,Slots,914.13,870.68,43.45,53
S0000040,P00002,2023-10-15,Slots,946.35,867.46,78.89,35
S0000041,P00002,2024-11-16,Slots,983.69,888.89,94.8,60
S0000042,P00002,2024-08-13,Slots,486.24,444.27,41.97,22
S0000043,P00002,2024-03-17,Slots,639.26,602.2,37.06,89
S0000044,P00002,2024-06-28,Slots,127.07,116.27,10.8,149
S0000045,P00002,2024-10-04,Table Games,771.52,756.97,14.55,113
S0000046,P00002,2023-08-28,Slots,218.89,197.05,21.84,108
S0000047,P00002,2024-03-13,Sports Betting,140.53,136.01,4.52,27
S0000048,P00002,2024-12-05,Slots,711.7,678.62,33.08,9
S0000049,P00002,2023-10-11,Slots,548.0,529.07,18.93,7
S0000050,P00002,2023-08-19,Slots,827.89,772.28,55.61,156
S0000051,P00002,2024-12-03,Poker,595.29,568.39,26.9,179
S0000052,P00002,2024-08-09,Slots,465.75,451.33,14.42,102
S0000053,P00002,2023-04-06,Live Casino,66.78,64.49,2.29,91
S0000054,P00002,2023-09-10,Slots,597.1,564.97,32.13,72
S0000055,P00002,2024-04-22,Poker,833.72,812.32,21.4,140
S0000056,P00002,2024-02-14,Slots,232.66,216.87,15.79,46
S0000057,P00002,2023-10-01,Slots,292.47,269.17,23.3,33
S0000058,P00002,2023-12-23,Poker,242.83,228.54,14.29,72
S0000059,P00002,2024-05-16,Slots,368.74,340.02,28.72,134
S0000060,P00002,2024-01-16,Slots,341.12,309.16,31.96,103
S0000061,P00002,2023-05-17,Slots,337.5,314.39,23.11,157
S0000062,P00002,2023-10-15,Sports Betting,967.07,975.08,-8.01,11
S0000063,P00002,2024-10-08,Slots,68.84,66.73,2.11,63
S0000064,P00002,2023-04-25,Slots,59.32,57.29,2.03,79
S0000065,P00002,2023-05-20,Slots,817.56,750.21,67.35,113
S0000066,P00002,2023-08-15,Slots,549.22,498.85,50.37,72
S0000067,P00002,2024-02-01,Table Games,242.08,235.15,6.93,99
S0000068,P00002,2024-03-21,Slots,855.73,797.93,57.8,133
S0000069,P00002,2024-08-29,Slots,859.1,814.75,44.35,79
S0000070,P00002,2024-10-26,Poker,73.72,72.17,1.55,37
S0000071,P00002,2024-07-30,Table Games,916.12,897.33,18.79,150
S0000072,P00003,2024-11-09,Sports Betting,11.99,10.27,1.72,83
S0000073,P00003,2024-08-22,Sports Betting,153.13,151.68,1.45,172
S0000074,P00003,2024-08-10,Table Games,15.67,15.43,0.24,43
S0000075,P00003,2024-10-27,Sports Betting,34.62,32.27,2.35,66
S0000076,P00003,2024-08-01,Slots,150.59,135.98,14.61,173
S0000077,P00003,2024-11-24,Sports Betting,162.05,151.53,10.52,79
