player_id,registration_date,country,segment,status,preferred_game,deposit_method,last_login,kyc_verified
P00001,2023-01-26,Cyprus,Regular,Self-Excluded,Live Casino,Credit Card,2023-10-03,Yes
P00002,2023-03-31,UK,VIP,Active,Slots,E-Wallet,2024-12-17,Yes
P00003,2024-07-28,Finland,Regular,Active,Sports Betting,E-Wallet,2024-12-27,Yes
P00004,2023-01-07,Canada,Casual,Dormant,Table Games,Bank Transfer,2023-06-19,Yes
P00005,2023-12-11,Germany,Whale,Active,Table Games,Bank Transfer,2024-12-23,Yes
P00006,2024-04-15,Canada,VIP,Active,Slots,Bank Transfer,2024-12-31,No
P00007,2024-01-06,UK,Regular,Inactive,Live Casino,Bank Transfer,2024-02-10,No
P00008,2023-04-14,India,VIP,Active,Live Casino,Bank Transfer,2024-12-24,Yes
P00009,2024-12-19,Germany,Regular,Dormant,Poker,E-Wallet,2024-12-19,Yes
P00010,2024-04-18,Finland,Casual,Inactive,Live Casino,Bank Transfer,2024-09-28,No
P00011,2023-08-23,Canada,Regular,Dormant,Table Games,Credit Card,2024-01-31,Yes
P00012,2023-11-19,Canada,VIP,Active,Sports Betting,E-Wallet,2024-12-24,Yes
P00013,2024-07-28,Nigeria,Casual,Inactive,Sports Betting,Crypto,2024-10-31,Yes
P00014,2023-05-22,UK,Whale,Active,Slots,E-Wallet,2024-12-18,Yes
P00015,2024-03-08,Canada,Regular,Inactive,Poker,Crypto,2024-09-21,Yes
P00016,2023-01-12,Finland,Whale,Inactive,Table Games,Bank Transfer,2023-05-09,Yes
P00017,2024-04-09,Brazil,Casual,Active,Poker,E-Wallet,2024-12-28,Yes
P00018,2024-10-02,Finland,Casual,Active,Poker,E-Wallet,2024-12-27,Yes
P00019,2024-07-06,UK,Regular,Dormant,Poker,Bank Transfer,2024-09-11,Yes
P00020,2024-01-07,Cyprus,Casual,Dormant,Slots,E-Wallet,2024-06-12,No
P00021,2023-03-29,Finland,VIP,Inactive,Live Casino,E-Wallet,2023-06-07,Yes
P00022,2023-06-19,Nigeria,VIP,Active,Sports Betting,E-Wallet,2024-12-30,No
P00023,2024-12-07,Canada,Regular,Active,Table Games,Crypto,2024-12-21,No
P00024,2023-09-11,UK,Casual,Active,Poker,E-Wallet,2024-12-22,Yes
P00025,2024-12-25,Cyprus,Casual,Inactive,Slots,Credit Card,2024-12-25,No
P00026,2023-09-01,Cyprus,Casual,Active,Poker,E-Wallet,2024-12-24,Yes
P00027,2024-08-13,Sweden,VIP,Active,Sports Betting,E-Wallet,2024-12-29,Yes
P00028,2023-12-29,UK,Regular,Inactive,Slots,Credit Card,2024-08-24,Yes
P00029,2023-04-22,Finland,Casual,Active,Sports Betting,E-Wallet,2024-12-20,Yes
P00030,2023-09-13,Sweden,Casual,Dormant,Poker,Credit Card,2023-10-21,Yes
P00031,2023-01-16,Malta,Whale,Dormant,Sports Betting,Crypto,2023-09-15,Yes
P00032,2023-03-02,Canada,VIP,Active,Table Games,Crypto,2024-12-17,Yes
P00033,2024-07-23,Malta,Regular,Self-Excluded,Live Casino,Bank Transfer,2024-11-24,Yes
P00034,2024-07-09,UK,Casual,Active,Slots,Crypto,2024-12-22,Yes
P00035,2023-06-11,Germany,VIP,Active,Live Casino,Credit Card,2024-12-25,Yes
