transaction_id,player_id,transaction_date,type,amount,method
TX000001,P00001,2024-05-15,Deposit,273.45,Credit Card
TX000002,P00001,2024-08-03,Deposit,161.64,Credit Card
TX000003,P00001,2024-03-10,Deposit,137.4,Credit Card
TX000004,P00001,2023-04-19,Deposit,87.9,Credit Card
TX000005,P00001,2024-12-04,Deposit,38.57,Credit Card
TX000006,P00001,2023-03-25,Deposit,141.97,Credit Card
TX000007,P00001,2023-07-02,Deposit,135.98,Credit Card
TX000008,P00001,2024-01-02,Deposit,282.53,Credit Card
TX000009,P00001,2024-01-09,Withdrawal,249.71,Credit Card
TX000010,P00001,2024-06-12,Deposit,279.79,Credit Card
TX000011,P00001,2023-09-02,Deposit,133.49,Credit Card
TX000012,P00001,2023-11-15,Deposit,88.11,Credit Card
TX000013,P00001,2024-01-05,Deposit,64.57,Credit Card
TX000014,P00002,2023-06-23,Deposit,291.25,E-Wallet
TX000015,P00002,2023-07-16,Withdrawal,90.34,E-Wallet
TX000016,P00002,2024-10-04,Deposit,914.23,E-Wallet
TX000017,P00002,2023-09-02,Deposit,1984.49,E-Wallet
TX000018,P00002,2023-09-07,Withdrawal,673.18,E-Wallet
TX000019,P00002,2024-01-23,Deposit,1969.03,E-Wallet
TX000020,P00002,2024-03-30,Deposit,1365.51,E-Wallet
TX000021,P00002,2024-04-04,Withdrawal,1872.74,E-Wallet
TX000022,P00002,2024-03-03,Deposit,289.95,E-Wallet
TX000023,P00002,2023-06-23,Deposit,1977.55,E-Wallet
TX000024,P00002,2023-10-13,Deposit,1600.13,E-Wallet
TX000025,P00002,2024-08-14,Deposit,304.32,E-Wallet
TX000026,P00002,2024-12-20,Deposit,1690.01,E-Wallet
TX000027,P00002,2024-12-29,Withdrawal,1083.86,E-Wallet
TX000028,P00002,2023-06-05,Deposit,978.44,E-Wallet
TX000029,P00002,2023-09-08,Deposit,1322.58,E-Wallet
TX000030,P00002,2023-07-07,Deposit,1043.19,E-Wallet
TX000031,P00002,2023-07-16,Withdrawal,353.06,E-Wallet
TX000032,P00002,2024-03-11,Deposit,1363.52,E-Wallet
TX000033,P00002,2024-07-06,Deposit,781.63,E-Wallet
TX000034,P00002,2024-01-25,Deposit,1341.63,E-Wallet
TX000035,P00002,2024-06-01,Deposit,1633.24,E-Wallet
TX000036,P00002,2024-06-28,Withdrawal,1096.22,E-Wallet
TX000037,P00002,2024-02-28,Deposit,500.04,E-Wallet
TX000038,P00002,2023-09-05,Deposit,169.92,E-Wallet
TX000039,P00002,2023-10-03,Withdrawal,74.98,E-Wallet
TX000040,P00002,2023-07-19,Deposit,1996.63,E-Wallet
TX000041,P00002,2023-08-11,Withdrawal,774.95,E-Wallet
TX000042,P00002,2024-03-05,Deposit,1406.68,E-Wallet
TX000043,P00002,2024-08-05,Deposit,927.14,E-Wallet
TX000044,P00002,2024-08-25,Withdrawal,1021.64,E-Wallet
TX000045,P00002,2024-10-16,Deposit,1485.82,E-Wallet
TX000046,P00002,2023-10-31,Deposit,1801.62,E-Wallet
TX000047,P00002,2024-04-06,Deposit,397.41,E-Wallet
TX000048,P00002,2024-04-08,Withdrawal,142.55,E-Wallet
TX000049,P00002,2023-12-14,Deposit,840.16,E-Wallet
